epoch,train_loss,val_loss,val_acc,flops,params
1,1.056862509250641,0.948486499786377,46.0,0.0,855040.0
2,0.8520985984802246,0.8819586563110352,58.0,0.0,855040.0
3,0.9258310890197754,0.7493212509155274,56.0,0.0,855040.0
4,0.783226125240326,0.8645319366455078,56.0,0.0,855040.0
5,0.8224232625961304,0.7032394218444824,65.0,0.0,855040.0
6,0.7548679900169373,1.1868523025512696,47.0,0.0,855040.0
7,0.7728036570549012,0.7494692993164063,55.0,0.0,855040.0
8,0.7323451137542725,0.7918880844116211,60.0,0.0,855040.0
9,0.7548949885368347,1.203025493621826,51.0,0.0,855040.0
10,0.8061272501945496,0.7116057205200196,58.0,0.0,855040.0
11,0.67574538230896,1.0288294792175292,52.0,0.0,855040.0
12,0.7406198000907898,0.7143723678588867,59.0,0.0,855040.0
13,0.7001008439064026,0.8007347869873047,64.0,0.0,855040.0
14,0.7182358598709107,0.6660073471069335,67.0,0.0,855040.0
15,0.6348896622657776,0.6957322502136231,62.0,0.0,855040.0
16,0.6412836217880249,0.639899730682373,61.0,0.0,855040.0
17,0.6531284666061401,0.6332033538818359,61.0,0.0,855040.0
18,0.7069793426990509,0.6047822380065918,63.0,0.0,855040.0
19,0.6748517751693726,0.539766902923584,73.0,0.0,855040.0
20,0.664582097530365,0.6052784729003906,63.0,0.0,855040.0
21,0.6157859945297242,0.6727713012695312,59.0,0.0,855040.0
22,0.6656968998908996,0.6256676101684571,63.0,0.0,855040.0
23,0.6722164130210877,0.6620624160766602,65.0,0.0,855040.0
24,0.6513088083267212,0.611020736694336,64.0,0.0,855040.0
25,0.6429135799407959,0.7149138069152832,62.0,0.0,855040.0
26,0.6160209608078003,0.755402946472168,62.0,0.0,855040.0
27,0.5968747115135193,0.7619165802001953,64.0,0.0,855040.0
28,0.6110530734062195,0.6591704750061035,68.0,0.0,855040.0
29,0.6040247845649719,0.7140335273742676,62.0,0.0,855040.0
30,0.6023812365531921,0.7140343475341797,64.0,0.0,855040.0
31,0.6155996203422547,0.7506491088867188,60.0,0.0,855040.0
32,0.6547455489635468,0.6000010108947754,72.0,0.0,855040.0
33,0.6209023523330689,0.5631502914428711,69.0,0.0,855040.0
34,0.6509962916374207,0.6222249221801758,64.0,0.0,855040.0
35,0.591220097541809,0.6221822929382325,68.0,0.0,855040.0
36,0.5999252176284791,0.7327623748779297,63.0,0.0,855040.0
37,0.60241215467453,0.6509762763977051,59.0,0.0,855040.0
38,0.6201363134384156,0.6057422065734863,66.0,0.0,855040.0
39,0.6109811019897461,0.6320520782470703,63.0,0.0,855040.0
40,0.5789330196380615,0.6641265678405762,61.0,0.0,855040.0
41,0.5591010165214538,0.6571609878540039,65.0,0.0,855040.0
42,0.5938315582275391,0.6168494033813476,65.0,0.0,855040.0
43,0.5757614898681641,0.5856915092468262,73.0,0.0,855040.0
44,0.6085743236541749,0.7845177459716797,59.0,0.0,855040.0
45,0.6162236881256103,0.6194360542297364,69.0,0.0,855040.0
46,0.6011021053791046,0.5967073440551758,66.0,0.0,855040.0
47,0.557977044582367,0.5751336097717286,75.0,0.0,855040.0
48,0.6222104334831238,0.6346544456481934,66.0,0.0,855040.0
49,0.6451053094863891,0.5514543724060058,69.0,0.0,855040.0
50,0.5961710190773011,0.686420669555664,65.0,0.0,855040.0
1,1.056862509250641,0.948486499786377,46.0,0.0,855040.0
2,0.8520985984802246,0.8819586563110352,58.0,0.0,855040.0
3,0.9258310890197754,0.7493212509155274,56.0,0.0,855040.0
4,0.783226125240326,0.8645319366455078,56.0,0.0,855040.0
5,0.8224232625961304,0.7032394218444824,65.0,0.0,855040.0
6,0.7548679900169373,1.1868523025512696,47.0,0.0,855040.0
7,0.7728036570549012,0.7494692993164063,55.0,0.0,855040.0
8,0.7323451137542725,0.7918880844116211,60.0,0.0,855040.0
9,0.7548949885368347,1.203025493621826,51.0,0.0,855040.0
10,0.8061272501945496,0.7116057205200196,58.0,0.0,855040.0
11,0.67574538230896,1.0288294792175292,52.0,0.0,855040.0
12,0.7406198000907898,0.7143723678588867,59.0,0.0,855040.0
13,0.7001008439064026,0.8007347869873047,64.0,0.0,855040.0
14,0.7182358598709107,0.6660073471069335,67.0,0.0,855040.0
15,0.6348896622657776,0.6957322502136231,62.0,0.0,855040.0
16,0.6412836217880249,0.639899730682373,61.0,0.0,855040.0
17,0.6531284666061401,0.6332033538818359,61.0,0.0,855040.0
18,0.7069793426990509,0.6047822380065918,63.0,0.0,855040.0
19,0.6748517751693726,0.539766902923584,73.0,0.0,855040.0
20,0.664582097530365,0.6052784729003906,63.0,0.0,855040.0
21,0.6157859945297242,0.6727713012695312,59.0,0.0,855040.0
22,0.6656968998908996,0.6256676101684571,63.0,0.0,855040.0
23,0.6722164130210877,0.6620624160766602,65.0,0.0,855040.0
24,0.6513088083267212,0.611020736694336,64.0,0.0,855040.0
25,0.6429135799407959,0.7149138069152832,62.0,0.0,855040.0
26,0.6160209608078003,0.755402946472168,62.0,0.0,855040.0
27,0.5968747115135193,0.7619165802001953,64.0,0.0,855040.0
28,0.6110530734062195,0.6591704750061035,68.0,0.0,855040.0
29,0.6040247845649719,0.7140335273742676,62.0,0.0,855040.0
30,0.6023812365531921,0.7140343475341797,64.0,0.0,855040.0
31,0.6155996203422547,0.7506491088867188,60.0,0.0,855040.0
32,0.6547455489635468,0.6000010108947754,72.0,0.0,855040.0
33,0.6209023523330689,0.5631502914428711,69.0,0.0,855040.0
34,0.6509962916374207,0.6222249221801758,64.0,0.0,855040.0
35,0.591220097541809,0.6221822929382325,68.0,0.0,855040.0
36,0.5999252176284791,0.7327623748779297,63.0,0.0,855040.0
37,0.60241215467453,0.6509762763977051,59.0,0.0,855040.0
38,0.6201363134384156,0.6057422065734863,66.0,0.0,855040.0
39,0.6109811019897461,0.6320520782470703,63.0,0.0,855040.0
40,0.5789330196380615,0.6641265678405762,61.0,0.0,855040.0
41,0.5591010165214538,0.6571609878540039,65.0,0.0,855040.0
42,0.5938315582275391,0.6168494033813476,65.0,0.0,855040.0
43,0.5757614898681641,0.5856915092468262,73.0,0.0,855040.0
44,0.6085743236541749,0.7845177459716797,59.0,0.0,855040.0
45,0.6162236881256103,0.6194360542297364,69.0,0.0,855040.0
46,0.6011021053791046,0.5967073440551758,66.0,0.0,855040.0
47,0.557977044582367,0.5751336097717286,75.0,0.0,855040.0
48,0.6222104334831238,0.6346544456481934,66.0,0.0,855040.0
49,0.6451053094863891,0.5514543724060058,69.0,0.0,855040.0
50,0.5961710190773011,0.686420669555664,65.0,0.0,855040.0
1,1.056862509250641,0.948486499786377,46.0,0.0,855040.0
2,0.8520985984802246,0.8819586563110352,58.0,0.0,855040.0
3,0.9258310890197754,0.7493212509155274,56.0,0.0,855040.0
4,0.783226125240326,0.8645319366455078,56.0,0.0,855040.0
5,0.8224232625961304,0.7032394218444824,65.0,0.0,855040.0
6,0.7548679900169373,1.1868523025512696,47.0,0.0,855040.0
7,0.7728036570549012,0.7494692993164063,55.0,0.0,855040.0
8,0.7323451137542725,0.7918880844116211,60.0,0.0,855040.0
9,0.7548949885368347,1.203025493621826,51.0,0.0,855040.0
10,0.8061272501945496,0.7116057205200196,58.0,0.0,855040.0
11,0.67574538230896,1.0288294792175292,52.0,0.0,855040.0
12,0.7406198000907898,0.7143723678588867,59.0,0.0,855040.0
13,0.7001008439064026,0.8007347869873047,64.0,0.0,855040.0
14,0.7182358598709107,0.6660073471069335,67.0,0.0,855040.0
15,0.6348896622657776,0.6957322502136231,62.0,0.0,855040.0
16,0.6412836217880249,0.639899730682373,61.0,0.0,855040.0
17,0.6531284666061401,0.6332033538818359,61.0,0.0,855040.0
18,0.7069793426990509,0.6047822380065918,63.0,0.0,855040.0
19,0.6748517751693726,0.539766902923584,73.0,0.0,855040.0
20,0.664582097530365,0.6052784729003906,63.0,0.0,855040.0
21,0.6157859945297242,0.6727713012695312,59.0,0.0,855040.0
22,0.6656968998908996,0.6256676101684571,63.0,0.0,855040.0
23,0.6722164130210877,0.6620624160766602,65.0,0.0,855040.0
24,0.6513088083267212,0.611020736694336,64.0,0.0,855040.0
25,0.6429135799407959,0.7149138069152832,62.0,0.0,855040.0
26,0.6160209608078003,0.755402946472168,62.0,0.0,855040.0
27,0.5968747115135193,0.7619165802001953,64.0,0.0,855040.0
28,0.6110530734062195,0.6591704750061035,68.0,0.0,855040.0
29,0.6040247845649719,0.7140335273742676,62.0,0.0,855040.0
30,0.6023812365531921,0.7140343475341797,64.0,0.0,855040.0
31,0.6155996203422547,0.7506491088867188,60.0,0.0,855040.0
32,0.6547455489635468,0.6000010108947754,72.0,0.0,855040.0
33,0.6209023523330689,0.5631502914428711,69.0,0.0,855040.0
34,0.6509962916374207,0.6222249221801758,64.0,0.0,855040.0
