step,epoch,layer_sync,peak_tau,win_sum,strong_cnt,strong_ratio
274,22,0.1411154568195343,0.14032474905252457,4363723.0,106560.0,0.406494140625
277,22,0.14072176814079285,0.14032474905252457,4370558.0,112097.0,0.4276161193847656
279,22,0.14072635769844055,0.14033521413803102,4370012.0,116486.0,0.44435882568359375
325,25,0.1415218561887741,0.1402682900428772,4320734.0,112279.0,0.4283103942871094
331,26,0.140559583902359,0.14024728238582612,4311156.0,115592.0,0.440948486328125
343,27,0.14033439755439758,0.14019103795289994,4298138.0,106288.0,0.40545654296875
363,28,0.1413123905658722,0.1401821032166481,4321282.0,108101.0,0.4123725891113281
364,28,0.14021578431129456,0.1401880905032158,4328274.0,111420.0,0.4250335693359375
366,29,0.14028260111808777,0.1402187317609787,4316682.0,99232.0,0.3785400390625
370,29,0.14054915308952332,0.14024728238582612,4321070.0,106750.0,0.40721893310546875
408,32,0.14167827367782593,0.1401821032166481,4329703.0,113121.0,0.4315223693847656
414,32,0.14086252450942993,0.13996295183897017,4354131.0,118224.0,0.45098876953125
423,33,0.1400483250617981,0.13994960635900497,4355195.0,116656.0,0.44500732421875
440,34,0.1402108371257782,0.13996721506118776,4236961.0,103908.0,0.3963775634765625
446,35,0.14031517505645752,0.1400616705417633,4248300.0,108234.0,0.41287994384765625
447,35,0.14068956673145294,0.1400616705417633,4263992.0,110605.0,0.4219245910644531
453,35,0.14047160744667053,0.140184685587883,4244865.0,113194.0,0.43180084228515625
468,36,0.14270436763763428,0.1400616705417633,4239814.0,107528.0,0.410186767578125
473,37,0.14041566848754883,0.1400645762681961,4244203.0,114575.0,0.4370689392089844
481,37,0.1427060216665268,0.1399458110332489,4324314.0,118224.0,0.45098876953125
500,39,0.14064350724220276,0.1399458110332489,4195764.0,105709.0,0.4032478332519531
504,39,0.14189130067825317,0.13996721506118776,4155349.0,110021.0,0.4196968078613281
507,39,0.14010053873062134,0.14005354642868043,4154247.0,104701.0,0.3994026184082031
520,40,0.14122374355793,0.14005354642868043,4222214.0,111429.0,0.4250679016113281
537,42,0.14010852575302124,0.1399732768535614,4312702.0,99823.0,0.3807945251464844
540,42,0.14105866849422455,0.14005354642868043,4296225.0,110283.0,0.4206962585449219
558,43,0.14190083742141724,0.14005354642868043,4293595.0,111329.0,0.4246864318847656
561,44,0.14058998227119446,0.14010133743286132,4297324.0,105743.0,0.4033775329589844
575,45,0.14007370173931122,0.13996995687484742,4308039.0,102364.0,0.3904876708984375
595,46,0.14078570902347565,0.1400184452533722,4321927.0,104152.0,0.397308349609375
598,46,0.14172311127185822,0.14005086272954942,4317075.0,108579.0,0.4141960144042969
601,47,0.14209169149398804,0.14007638543844222,4330751.0,118761.0,0.4530372619628906
624,48,0.14008645713329315,0.1400209829211235,4348127.0,113826.0,0.43421173095703125
647,50,0.1400684416294098,0.13995800465345382,4232562.0,99183.0,0.3783531188964844
