step,epoch,phase,top_pairs,layer_sync,sync_ema,peak_tau,is_peak,streak,win_sum,strong_cnt,trigger,strong_ratio,train_loss,val_loss,val_acc,trig_in_epoch,flops,params
11,1,sync_diag,"[{'post': 14, 'pre': 281, 'score': 0.9449339509010315}, {'post': 14, 'pre': 129, 'score': 0.9449339509010315}, {'post': 14, 'pre': 231, 'score': 0.9449339509010315}, {'post': 14, 'pre': 356, 'score': 0.9449339509010315}, {'post': 3, 'pre': 329, 'score': 0.9449339509010315}, {'post': 14, 'pre': 304, 'score': 0.9449339509010315}, {'post': 14, 'pre': 138, 'score': 0.9449339509010315}, {'post': 14, 'pre': 497, 'score': 0.9449339509010315}, {'post': 14, 'pre': 47, 'score': 0.9449339509010315}, {'post': 14, 'pre': 451, 'score': 0.9449339509010315}, {'post': 14, 'pre': 360, 'score': 0.9449339509010315}, {'post': 1, 'pre': 329, 'score': 0.9449339509010315}, {'post': 14, 'pre': 392, 'score': 0.9449339509010315}, {'post': 14, 'pre': 298, 'score': 0.9449339509010315}, {'post': 14, 'pre': 436, 'score': 0.9449339509010315}, {'post': 14, 'pre': 203, 'score': 0.9449339509010315}, {'post': 15, 'pre': 288, 'score': 0.9449339509010315}, {'post': 14, 'pre': 459, 'score': 0.9449339509010315}, {'post': 3, 'pre': 288, 'score': 0.9449339509010315}, {'post': 1, 'pre': 288, 'score': 0.9449339509010315}]",0.1357148438692093,0.09444869826146116,0.08,True,0.0,1200073.0,105945.0,True,0.4041481018066406,,,,,,
12,1,sync_diag,"[{'post': 1, 'pre': 90, 'score': 0.9449339509010315}, {'post': 1, 'pre': 208, 'score': 0.9449339509010315}, {'post': 1, 'pre': 457, 'score': 0.9449339509010315}, {'post': 1, 'pre': 104, 'score': 0.9449339509010315}, {'post': 1, 'pre': 212, 'score': 0.9449339509010315}, {'post': 2, 'pre': 79, 'score': 0.9449339509010315}, {'post': 1, 'pre': 40, 'score': 0.9449339509010315}, {'post': 2, 'pre': 85, 'score': 0.9449339509010315}, {'post': 1, 'pre': 384, 'score': 0.9449339509010315}, {'post': 1, 'pre': 422, 'score': 0.9449339509010315}, {'post': 1, 'pre': 46, 'score': 0.9449339509010315}, {'post': 1, 'pre': 355, 'score': 0.9449339509010315}, {'post': 2, 'pre': 32, 'score': 0.9449339509010315}, {'post': 1, 'pre': 226, 'score': 0.9449339509010315}, {'post': 2, 'pre': 81, 'score': 0.9449339509010315}, {'post': 1, 'pre': 256, 'score': 0.9449339509010315}, {'post': 2, 'pre': 91, 'score': 0.9449339509010315}, {'post': 1, 'pre': 450, 'score': 0.9449339509010315}, {'post': 1, 'pre': 377, 'score': 0.9449339509010315}, {'post': 1, 'pre': 299, 'score': 0.9449339509010315}]",0.140065535902977,0.09901038202561273,0.08,True,0.0,1310868.0,110795.0,True,0.4226493835449219,,,,,,
13,1,sync_diag,"[{'post': 1, 'pre': 21, 'score': 0.9449339509010315}, {'post': 1, 'pre': 121, 'score': 0.9449339509010315}, {'post': 1, 'pre': 314, 'score': 0.9449339509010315}, {'post': 1, 'pre': 43, 'score': 0.9449339509010315}, {'post': 1, 'pre': 400, 'score': 0.9449339509010315}, {'post': 1, 'pre': 90, 'score': 0.9449339509010315}, {'post': 1, 'pre': 288, 'score': 0.9449339509010315}, {'post': 5, 'pre': 79, 'score': 0.9449339509010315}, {'post': 1, 'pre': 433, 'score': 0.9449339509010315}, {'post': 1, 'pre': 439, 'score': 0.9449339509010315}, {'post': 1, 'pre': 46, 'score': 0.9449339509010315}, {'post': 1, 'pre': 123, 'score': 0.9449339509010315}, {'post': 1, 'pre': 56, 'score': 0.9449339509010315}, {'post': 1, 'pre': 14, 'score': 0.9449339509010315}, {'post': 5, 'pre': 6, 'score': 0.9449339509010315}, {'post': 1, 'pre': 308, 'score': 0.9449339509010315}, {'post': 5, 'pre': 86, 'score': 0.9449339509010315}, {'post': 1, 'pre': 507, 'score': 0.9449339509010315}, {'post': 1, 'pre': 397, 'score': 0.9449339509010315}, {'post': 1, 'pre': 345, 'score': 0.9449339509010315}]",0.13503938913345337,0.10261328273639679,0.08,True,0.0,1422942.0,112074.0,True,0.42752838134765625,,,,,,
13,1,epoch,,,,,,,,,,,1.0605626964569093,0.872526626586914,49.0,True,0.0,855040.0
14,2,sync_diag,"[{'post': 17, 'pre': 116, 'score': 0.9449339509010315}, {'post': 17, 'pre': 53, 'score': 0.9449339509010315}, {'post': 17, 'pre': 354, 'score': 0.9449339509010315}, {'post': 17, 'pre': 173, 'score': 0.9449339509010315}, {'post': 17, 'pre': 6, 'score': 0.9449339509010315}, {'post': 17, 'pre': 170, 'score': 0.9449339509010315}, {'post': 17, 'pre': 87, 'score': 0.9449339509010315}, {'post': 17, 'pre': 360, 'score': 0.9449339509010315}, {'post': 17, 'pre': 26, 'score': 0.9449339509010315}, {'post': 17, 'pre': 300, 'score': 0.9449339509010315}, {'post': 17, 'pre': 267, 'score': 0.9449339509010315}, {'post': 11, 'pre': 264, 'score': 0.9449339509010315}, {'post': 17, 'pre': 276, 'score': 0.9449339509010315}, {'post': 17, 'pre': 126, 'score': 0.9449339509010315}, {'post': 17, 'pre': 285, 'score': 0.9449339509010315}, {'post': 17, 'pre': 296, 'score': 0.9449339509010315}, {'post': 17, 'pre': 392, 'score': 0.9449339509010315}, {'post': 17, 'pre': 310, 'score': 0.9449339509010315}, {'post': 11, 'pre': 492, 'score': 0.9449339509010315}, {'post': 11, 'pre': 248, 'score': 0.9449339509010315}]",0.13753561675548553,0.10610551613830566,0.08,True,0.0,1529868.0,106926.0,True,0.40789031982421875,,,,,,
15,2,sync_diag,"[{'post': 3, 'pre': 435, 'score': 0.9449339509010315}, {'post': 3, 'pre': 5, 'score': 0.9449339509010315}, {'post': 3, 'pre': 409, 'score': 0.9449339509010315}, {'post': 5, 'pre': 1, 'score': 0.9449339509010315}, {'post': 3, 'pre': 147, 'score': 0.9449339509010315}, {'post': 3, 'pre': 510, 'score': 0.9449339509010315}, {'post': 3, 'pre': 226, 'score': 0.9449339509010315}, {'post': 5, 'pre': 231, 'score': 0.9449339509010315}, {'post': 3, 'pre': 183, 'score': 0.9449339509010315}, {'post': 3, 'pre': 197, 'score': 0.9449339509010315}, {'post': 5, 'pre': 92, 'score': 0.9449339509010315}, {'post': 3, 'pre': 21, 'score': 0.9449339509010315}, {'post': 5, 'pre': 170, 'score': 0.9449339509010315}, {'post': 3, 'pre': 464, 'score': 0.9449339509010315}, {'post': 5, 'pre': 173, 'score': 0.9449339509010315}, {'post': 3, 'pre': 339, 'score': 0.9449339509010315}, {'post': 5, 'pre': 331, 'score': 0.9449339509010315}, {'post': 3, 'pre': 208, 'score': 0.9449339509010315}, {'post': 3, 'pre': 24, 'score': 0.9449339509010315}, {'post': 3, 'pre': 19, 'score': 0.9449339509010315}]",0.13555194437503815,0.10905015896197891,0.08,True,0.0,1640985.0,111117.0,True,0.4238777160644531,,,,,,
16,2,sync_diag,"[{'post': 11, 'pre': 308, 'score': 0.9449339509010315}, {'post': 11, 'pre': 190, 'score': 0.9449339509010315}, {'post': 11, 'pre': 307, 'score': 0.9449339509010315}, {'post': 11, 'pre': 334, 'score': 0.9449339509010315}, {'post': 1, 'pre': 151, 'score': 0.9449339509010315}, {'post': 11, 'pre': 328, 'score': 0.9449339509010315}, {'post': 1, 'pre': 437, 'score': 0.9449339509010315}, {'post': 11, 'pre': 438, 'score': 0.9449339509010315}, {'post': 11, 'pre': 90, 'score': 0.9449339509010315}, {'post': 11, 'pre': 134, 'score': 0.9449339509010315}, {'post': 11, 'pre': 383, 'score': 0.9449339509010315}, {'post': 11, 'pre': 40, 'score': 0.9449339509010315}, {'post': 11, 'pre': 400, 'score': 0.9449339509010315}, {'post': 11, 'pre': 309, 'score': 0.9449339509010315}, {'post': 11, 'pre': 429, 'score': 0.9449339509010315}, {'post': 11, 'pre': 302, 'score': 0.9449339509010315}, {'post': 11, 'pre': 441, 'score': 0.9449339509010315}, {'post': 11, 'pre': 167, 'score': 0.9449339509010315}, {'post': 11, 'pre': 46, 'score': 0.9449339509010315}, {'post': 1, 'pre': 19, 'score': 0.9449339509010315}]",0.1383415013551712,0.11197929320129814,0.08,True,0.0,1751465.0,110480.0,True,0.42144775390625,,,,,,
17,2,sync_diag,"[{'post': 1, 'pre': 167, 'score': 0.9449339509010315}, {'post': 1, 'pre': 329, 'score': 0.9449339509010315}, {'post': 13, 'pre': 287, 'score': 0.9449339509010315}, {'post': 5, 'pre': 155, 'score': 0.9449339509010315}, {'post': 1, 'pre': 434, 'score': 0.9449339509010315}, {'post': 13, 'pre': 17, 'score': 0.9449339509010315}, {'post': 5, 'pre': 425, 'score': 0.9449339509010315}, {'post': 13, 'pre': 334, 'score': 0.9449339509010315}, {'post': 1, 'pre': 207, 'score': 0.9449339509010315}, {'post': 13, 'pre': 42, 'score': 0.9449339509010315}, {'post': 13, 'pre': 43, 'score': 0.9449339509010315}, {'post': 1, 'pre': 377, 'score': 0.9449339509010315}, {'post': 13, 'pre': 90, 'score': 0.9449339509010315}, {'post': 5, 'pre': 227, 'score': 0.9449339509010315}, {'post': 13, 'pre': 282, 'score': 0.9449339509010315}, {'post': 13, 'pre': 18, 'score': 0.9449339509010315}, {'post': 13, 'pre': 422, 'score': 0.9449339509010315}, {'post': 13, 'pre': 205, 'score': 0.9449339509010315}, {'post': 1, 'pre': 395, 'score': 0.9449339509010315}, {'post': 1, 'pre': 99, 'score': 0.9449339509010315}]",0.13990573585033417,0.11477193746620175,0.08,True,0.0,1863630.0,112165.0,True,0.4278755187988281,,,,,,
18,2,sync_diag,"[{'post': 13, 'pre': 257, 'score': 0.9449339509010315}, {'post': 13, 'pre': 147, 'score': 0.9449339509010315}, {'post': 13, 'pre': 400, 'score': 0.9449339509010315}, {'post': 13, 'pre': 305, 'score': 0.9449339509010315}, {'post': 13, 'pre': 14, 'score': 0.9449339509010315}, {'post': 13, 'pre': 307, 'score': 0.9449339509010315}, {'post': 13, 'pre': 164, 'score': 0.9449339509010315}, {'post': 13, 'pre': 507, 'score': 0.9449339509010315}, {'post': 13, 'pre': 21, 'score': 0.9449339509010315}, {'post': 13, 'pre': 135, 'score': 0.9449339509010315}, {'post': 13, 'pre': 283, 'score': 0.9449339509010315}, {'post': 13, 'pre': 145, 'score': 0.9449339509010315}, {'post': 13, 'pre': 457, 'score': 0.9449339509010315}, {'post': 13, 'pre': 271, 'score': 0.9449339509010315}, {'post': 13, 'pre': 474, 'score': 0.9449339509010315}, {'post': 13, 'pre': 166, 'score': 0.9449339509010315}, {'post': 20, 'pre': 101, 'score': 0.9449339509010315}, {'post': 13, 'pre': 441, 'score': 0.9449339509010315}, {'post': 13, 'pre': 432, 'score': 0.9449339509010315}, {'post': 3, 'pre': 76, 'score': 0.9449339509010315}]",0.13926346600055695,0.11722109031963726,0.08,True,0.0,1971735.0,108105.0,True,0.4123878479003906,,,,,,
19,2,sync_diag,"[{'post': 7, 'pre': 77, 'score': 0.9449339509010315}, {'post': 7, 'pre': 118, 'score': 0.9449339509010315}, {'post': 7, 'pre': 155, 'score': 0.9449339509010315}, {'post': 1, 'pre': 83, 'score': 0.9449339509010315}, {'post': 1, 'pre': 253, 'score': 0.9449339509010315}, {'post': 7, 'pre': 86, 'score': 0.9449339509010315}, {'post': 7, 'pre': 112, 'score': 0.9449339509010315}, {'post': 7, 'pre': 192, 'score': 0.9449339509010315}, {'post': 7, 'pre': 53, 'score': 0.9449339509010315}, {'post': 7, 'pre': 129, 'score': 0.9449339509010315}, {'post': 1, 'pre': 135, 'score': 0.9449339509010315}, {'post': 7, 'pre': 33, 'score': 0.9449339509010315}, {'post': 7, 'pre': 87, 'score': 0.9449339509010315}, {'post': 1, 'pre': 66, 'score': 0.9449339509010315}, {'post': 7, 'pre': 170, 'score': 0.9449339509010315}, {'post': 7, 'pre': 149, 'score': 0.9449339509010315}, {'post': 7, 'pre': 206, 'score': 0.9449339509010315}, {'post': 7, 'pre': 178, 'score': 0.9449339509010315}, {'post': 7, 'pre': 169, 'score': 0.9449339509010315}, {'post': 1, 'pre': 315, 'score': 0.9449339509010315}]",0.13701950013637543,0.11920093130131108,0.08,True,0.0,2078071.0,106336.0,True,0.4056396484375,,,,,,
